index,age_range,bmi_grade,gender,ability,sports_step,recommend_rank,ex_recommend,video_url,space
0,1,1,1,0,1,1,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,0
1,1,1,1,0,1,2,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
2,1,1,1,0,1,3,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
3,1,1,1,0,1,4,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
4,1,1,1,0,1,5,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
5,1,1,1,0,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
6,1,1,1,0,0,2,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
7,1,1,1,0,0,3,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
8,1,1,1,0,0,4,다리모아 무릎 누르기,https://www.youtube.com/watch?v=ETIxjvO9jIA,0
9,1,1,1,0,0,5,시소우,https://www.youtube.com/watch?v=bGoseV7XdYg,0
10,1,1,1,0,2,1,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
11,1,1,1,0,2,2,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
12,1,1,1,0,2,3,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
13,1,1,1,0,2,4,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
14,1,1,1,0,2,5,모관운동,https://www.youtube.com/watch?v=HaMZOnbpNpg,0
15,1,1,1,1,1,1,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
16,1,1,1,1,1,2,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
17,1,1,1,1,1,3,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
18,1,1,1,1,1,4,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
19,1,1,1,1,1,5,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
20,1,1,1,1,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
21,1,1,1,1,0,2,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
22,1,1,1,1,0,3,팔 벌려 뛰기,https://www.youtube.com/watch?v=weBc5JQ__50,0
23,1,1,1,1,0,4,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
24,1,1,1,1,0,5,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
