age_range,bmi_grade,gender,ability,sports_step,recommend_rank,ex_recommend
10대,정상,F,참가증,본운동,1,줄넘기 운동
10대,정상,F,참가증,본운동,2,자전거타기
10대,정상,F,참가증,본운동,3,조깅
10대,정상,F,참가증,본운동,4,버피 테스트
10대,정상,F,참가증,본운동,5,맨몸운동  루틴프로그램
10대,정상,F,참가증,준비운동,1,동적 스트레칭 루틴프로그램
10대,정상,F,참가증,준비운동,2,몸통 비틀기
10대,정상,F,참가증,준비운동,3,목 돌리기
10대,정상,F,참가증,준비운동,4,다리모아 무릎 누르기
10대,정상,F,참가증,준비운동,5,시소우
10대,정상,F,참가증,마무리운동,1,복식호흡
10대,정상,F,참가증,마무리운동,2,정적 스트레칭  루틴프로그램
10대,정상,F,참가증,마무리운동,3,온 몸 뻗어주기
10대,정상,F,참가증,마무리운동,4,짝 스트레칭  루틴프로그램
10대,정상,F,참가증,마무리운동,5,모관운동
10대,정상,F,1등급,본운동,1,줄넘기 운동
10대,정상,F,1등급,본운동,2,맨몸운동  루틴프로그램
10대,정상,F,1등급,본운동,3,버피 테스트
10대,정상,F,1등급,본운동,4,자전거타기
10대,정상,F,1등급,본운동,5,조깅
10대,정상,F,1등급,준비운동,1,동적 스트레칭 루틴프로그램
10대,정상,F,1등급,준비운동,2,몸통 비틀기
10대,정상,F,1등급,준비운동,3,팔 벌려 뛰기
10대,정상,F,1등급,준비운동,4,정적 스트레칭  루틴프로그램
10대,정상,F,1등급,준비운동,5,목 돌리기
10대,정상,F,1등급,마무리운동,1,온 몸 뻗어주기
10대,정상,F,1등급,마무리운동,2,정적 스트레칭  루틴프로그램
10대,정상,F,1등급,마무리운동,3,복식호흡
10대,정상,F,1등급,마무리운동,4,짝 스트레칭  루틴프로그램
10대,정상,F,1등급,마무리운동,5,동적 스트레칭 루틴프로그램
10대,정상,F,2등급,본운동,1,줄넘기 운동
10대,정상,F,2등급,본운동,2,맨몸운동  루틴프로그램
10대,정상,F,2등급,본운동,3,버피 테스트
10대,정상,F,2등급,본운동,4,자전거타기
10대,정상,F,2등급,본운동,5,조깅
